event_id,site_id,start_date,exclusion_reason
bgd_gbm_2004,bgd_gbm,2004-07-01,no sourced inundated area; no sourced 24h rainfall
bgd_gbm_2007,bgd_gbm,2007-07-03,no sourced inundated area; no sourced 24h rainfall
bgd_gbm_2017,bgd_gbm,2017-08-12,no sourced inundated area; no sourced 24h rainfall
bgd_gbm_2024_feni,bgd_gbm,2024-08-21,no sourced 24h rainfall
pak_sindh_2010,pak_sindh,2010-07-26,no sourced 24h rainfall
pak_sindh_2011,pak_sindh,2011-08-11,"no sourced 24h rainfall; area is administrative, not inundated"
pak_sindh_2022,pak_sindh,2022-06-14,no sourced 24h rainfall
chn_yangtze_2016,chn_yangtze,2016-07-01,no sourced inundated area; no sourced 24h rainfall
chn_yangtze_2020,chn_yangtze,2020-06-01,no sourced inundated area; no sourced 24h rainfall
chn_yangtze_2024_dongting,chn_yangtze,2024-07-05,no sourced 24h rainfall; extent driven by levee_failure
ind_mumbai_2005,ind_mumbai,2005-07-26,no sourced inundated area
ind_mumbai_2017,ind_mumbai,2017-08-29,no sourced inundated area
ind_mumbai_2019,ind_mumbai,2019-07-01,no sourced inundated area
ind_mumbai_2021,ind_mumbai,2021-07-17,no sourced inundated area
ind_mumbai_2024,ind_mumbai,2024-09-27,no sourced inundated area; no sourced 24h rainfall
idn_jakarta_2007,idn_jakarta,2007-02-01,no sourced inundated area
idn_jakarta_2013,idn_jakarta,2013-01-15,no sourced inundated area; no sourced 24h rainfall; extent driven by levee_failure
idn_jakarta_2015,idn_jakarta,2015-02-01,no sourced inundated area; no sourced 24h rainfall
idn_jakarta_2020,idn_jakarta,2020-01-01,no sourced inundated area
idn_jakarta_2021,idn_jakarta,2021-02-19,no sourced inundated area
vnm_mekong_2000,vnm_mekong,2000-09-01,no sourced 24h rainfall
vnm_mekong_2011,vnm_mekong,2011-09-01,no sourced inundated area; no sourced 24h rainfall
dxb-2016-03,are_dubai,2016-03-09,no sourced inundated area; no sourced 24h rainfall
dxb-2020-01,are_dubai,2020-01-09,no sourced inundated area; no sourced 24h rainfall
dxb-2024-05,are_dubai,2024-05-02,no sourced inundated area; no sourced 24h rainfall
dxb-2025-12,are_dubai,2025-12-18,no sourced inundated area; no sourced 24h rainfall
fjr-2020-01,are_fujairah,2020-01-09,no sourced inundated area; no sourced 24h rainfall
fjr-2022-07,are_fujairah,2022-07-26,no sourced inundated area; no sourced 24h rainfall
fjr-2024-04,are_fujairah,2024-04-14,no sourced inundated area
fjr-2024-10,are_fujairah,2024-10-23,no sourced inundated area; no sourced 24h rainfall
fjr-2025-12,are_fujairah,2025-12-18,no sourced inundated area; no sourced 24h rainfall
nga_2012,nga_lokoja,2012-09-01,no sourced 24h rainfall
nga_2018,nga_lokoja,2018-09-07,no sourced inundated area; no sourced 24h rainfall
nga_2022,nga_lokoja,2022-09-01,no sourced 24h rainfall
nga_2024,nga_lokoja,2024-09-23,no sourced 24h rainfall
usa_2001_allison,usa_houston,2001-06-05,no sourced inundated area; no sourced 24h rainfall
usa_2015_memorial,usa_houston,2015-05-25,no sourced inundated area; no sourced 24h rainfall
usa_2016_taxday,usa_houston,2016-04-17,no sourced inundated area; no sourced 24h rainfall
usa_2017_harvey,usa_houston,2017-08-25,no sourced 24h rainfall
usa_2024_beryl,usa_houston,2024-07-08,no sourced inundated area; no sourced 24h rainfall
deu_2021_jul,deu_ahr,2021-07-12,no sourced inundated area
bel_2021_jul,deu_ahr,2021-07-13,no sourced inundated area; no sourced 24h rainfall
bra_2023_sep,bra_rgs,2023-09-01,no sourced inundated area; no sourced 24h rainfall
bra_2024_apr_may,bra_rgs,2024-04-27,no sourced 24h rainfall
